Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
11,6688,1718,84.271541,82.142492,82.062206,89.411891,88.665078,82.944414,73.71,NULL,88.784409,81.121,85.4016,91.547295,92.9015,81.952,92.733296,87.218333,94.6275,85.500714,78.05,95.77,89.916363,91.55,95.39
10,6767,1718,88.922754,92.78958,86.97002,91.219245,95.842692,90.565425,96.776,93.823,78.05426,91.620055,89.364,84.131045,96.8655,97.876,92.459588,98.610142,97.38,91.1276,97.882857,97.83,80.3824,97.068571,97.92
10,6826,1718,85.497729,86.091723,88.371684,90.627341,92.728758,87.562154,87.15725,84.32125,82.18948,93.422,87.425,86.42309,95.10575,95.997,91.419582,93.012365,94.6335,86.6484,92.802857,97.83,82.9436,88.405714,96.18
10,6853,1718,77.792879,80.686926,79.815334,72.921998,76.480198,71.185321,81.352,79.92175,75.891545,73.4575,64.8255,67.511409,71.22625,75.238,79.897882,74.212111,82.7605,73.626363,75.527142,77.17,76.543636,64.24,92.49
12,6990,1718,95.811087,85.972422,85.35377,91.823419,87.634099,88.532099,82.691111,NULL,88.620705,92.2455,NULL,93.01159,93.447278,92.8925,87.895204,87.42375,83.8575,87.811111,81.375,90.53,87.642352,89.22,82.41
11,7069,1718,89.970479,93.249656,93.22972,96.866441,96.053579,87.420918,94.79,NULL,93.289909,91.9715,100,95.735818,98.406,97.477,94.860037,98.298333,100,88.69,96.01,100,95.14909,99.47,100
5,15856,1718,97.478572,98.004611,95.068412,97.258784,97.378902,97.052125,98.1006,97.79,99.41966,92.8502,98.57,97.620027,97.1016,99.1195,97.867875,99.7,NULL,96.216071,99,NULL,95.914482,100,NULL
11,15879,1718,79.500951,75.15975,76.493456,74.901238,81.588992,74.438415,72.838333,NULL,77.5794,60.62375,77.3805,77.162363,74.70625,61.642,84.720222,87.848,84.3255,75.706875,82.97,83.74,78.8128,87.25,84.69
3,15918,1718,70.521984,49.000191,63.348594,80.694975,75.17558,55.51236,70.247,39.01,70.527316,66.2262,62.207,76.105433,80.7018,NULL,78.9496,90.220214,NULL,49.618275,94.763333,NULL,67.744444,93.24,NULL
6,15922,1718,95.742502,95.880992,96.792361,96.034919,94.972929,94.233287,95.801,97.2845,99.617505,96.444,98.3425,93.769545,98.2376,97.9735,96.448886,98.351,98.85,92.873793,98,96.25,97.156785,96.13,98
