Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
10,7,1112,86.108414,83.820575,80.303294,84.535065,79.00643,76.969257,85.21525,82.4335,71.109507,73.19575,85.0125,75.161475,82.10875,88.775,80.215085,75.116665,78.2225,82.613333,83.15,76.8,69.33,73.65,79.25
10,8,1112,79.08524,82.35068,78.371273,82.412685,86.9169,81.944522,85.80975,74.78,75.618939,72.8885,80.899,78.14909,77.13875,83.88,88.144105,85.343335,77.97,82.419523,91.25,78.45,70.088181,80.2,73.55
10,9,1112,49.513142,57.929914,66.026182,70.49424,66.9798,61.022666,50.96175,59.8445,66.504,66.563,62.61,64.224125,64.015,82.3875,65.7433,71.085,66.515,70.047619,76.9,60.6,62.907727,69.2,54
10,15,1112,83.46569,86.754231,90.669642,90.188455,89.994015,87.58584,92.977,81.122,87.344628,96.1305,90.114,84.39799,92.865,95.1775,89.871875,93.065,90.645,89.776666,91.55,91.3,87.942727,92.25,90.15
10,16,1112,66.428253,75.593392,74.052505,84.736215,87.73717,80.014193,68.855,62.5635,77.707598,65.26575,69.18,80.522005,90.123335,81.7225,88.215085,94.475,79.12,79.573333,96.35,78.1,80.87909,91.6,78.1
10,23,1112,60.334593,63.826413,56.007734,59.46257,54.59875,66.23679,65.32525,36.931,67.995424,46.4405,50.0575,63.18284,48.173335,66.3725,61.413125,51.436665,51.5525,62.144285,60.9,37.4,64.347272,42.2,55.3
11,56,1112,85.880894,84.846914,89.571623,84.59001,82.90725,86.368366,81.55325,NULL,93.723906,82.15975,89.0045,84.66994,79.86625,83.12,83.293485,75.3525,80.165,83.4675,76.45,79.35,95.567441,82.15,79.1
10,57,1112,66.855273,60.842948,60.674716,74.164555,73.56014,64.131318,61.9765,53.082,61.857174,57.739,50.391,63.5489,85.70125,65.5175,74.253125,74.966665,63.1225,74.949523,81.55,64.45,61.439545,70.15,59.1
12,59,1112,77.991527,71.087616,72.695793,72.256605,67.98094,64.405,71.076,NULL,72.244937,76.975333,NULL,69.982345,65.103055,65.555,63.491045,69.36875,59.92,59.7,73.125,64.3,70.47,65.95,56.8
10,70,1112,74.525313,81.383489,78.733197,83.570485,77.477335,83.924813,82.50675,79.115,77.762106,76.3035,73.634,78.033485,86.3025,80.37,83.396785,79.316665,66.3425,86.616666,80.6,70.5,79.212727,60.85,70
10,78,1112,92.536754,93.122044,95.986392,95.95541,95.14354,91.681693,98.07875,88.9205,91.973446,98.78875,96.963,90.33659,99.27,96.68,94.15482,95.885,91.25,94.670476,99.75,90.9,89.478636,95.25,91.05
9,80,1112,83.041859,82.545454,84.32785,88.6159,90.593895,84.590818,80.583375,83.435556,87.753772,81.471,75.8415,85.847095,92.8225,87.0825,86.41572,93.27,85.5375,86.720952,86.9,85.7,83.814772,90.55,78.85
9,84,1112,62.249281,63.941964,50.590903,68.39187,72.04748,71.9495,45.175,60.7555,54.536075,26.58275,55.602,70.54764,59.785,64.635,71.096855,61.4425,66.7325,66.263809,68.75,65.85,49.964772,65.15,61.75
12,112,1112,79.086444,78.691587,83.943079,88.41537,85.580245,76.868,73.942222,NULL,84.168505,87.28025,NULL,88.72727,85.63375,83.925,85.808135,82.0625,82.875,76.19,81.775,79.35,88.376666,77.225,83.15
10,131,1112,74.840769,77.402288,75.118644,79.51729,78.56907,75.776817,75.45075,73.719,74.39275,74.717,69.1325,74.75875,81.82,84.315,75.242585,84.053335,73.0525,80.271428,82.45,77.6,74.808636,82.75,65.7
9,137,1112,53.886377,59.574878,55.522735,61.607835,63.82707,55.500744,58.7545,47.905,50.34259,62.431333,45.4465,55.774595,65.34625,47.51,53.20947,66.065,55.3975,58.56,76.55,53.85,47.317727,81.15,55.1
10,138,1112,42.936935,54.444527,56.189338,59.788535,57.00194,64.271032,49.4305,43.876333,60.894977,46.536,49.2685,57.20284,55.845,66.0825,57.731785,58.961665,48.8525,66.914761,58.45,37.75,55.171363,55.2,47.7
10,141,1112,74.598174,75.794702,75.95249,77.736655,79.75133,73.071693,81.295,71.146,72.956348,79.53925,71.6985,71.25678,85.24625,75.5525,77.675445,85.626665,75.14,76.399523,89.75,70.1,68.593636,80.4,74.3
9,143,1112,78.840843,76.584554,64.283436,75.74569,77.89402,84.231969,69.977,74.577,76.892742,36.858,59.671,81.38178,63.9775,80.125,83.471535,68.575,76.6575,82.69,75.5,77.25,78.045,59.45,67.25
12,152,1112,73.055311,72.210312,66.104572,63.07187,63.972465,71.250667,63.183,NULL,65.124683,65.878667,NULL,78.11178,40.3925,53.9425,79.69965,48.655415,51.525,63.57,51.725,47.9,71.3595,36.875,54.35
9,189,1112,66.926266,66.105101,63.862908,64.75507,68.86522,75.249727,51.05025,58.05375,67.870166,51.3785,69.587,68.890055,61.82,59.7175,77.922765,57.6425,60.515,73.430476,56.3,57.95,58.40409,58.95,61.2
10,191,1112,57.833824,72.233105,75.595195,79.96639,82.535425,76.699651,76.943,72.244,75.336727,73.607472,75.461,73.625775,85.23125,84.5,85.575445,82.521665,73.315,81.513333,94.1,79.1,72.805116,77.05,78.75
9,193,1112,81.217226,86.305142,86.900048,87.46336,89.01864,90.409357,81.2815,86.511,90.26556,83.39175,82.785,91.115515,87.83,89.235,91.621785,87.3675,85.53,89.93,86.05,86.7,91.434772,83.5,79.35
11,227,1112,75.704706,70.778999,75.288649,75.59527,81.009185,68.757333,69.628,NULL,80.076757,65.03525,68.3635,75.00273,72.72,57.3225,82.20895,76.4175,68.77,68.294,59.8,56.05,73.979534,68.55,65.05
10,241,1112,84.331794,77.447373,77.0067,73.046285,81.234515,87.206897,70.640187,74.6745,80.9667,73.523,73.876,77.33458,67.25,75.515,82.75473,82.45,73.545,87.83,76.1,61.8,81.005,83.7,70.65
12,258,1112,79.535527,73.669608,78.912502,82.228455,78.098375,79.927333,55.566,NULL,82.79998,73.756,NULL,85.960225,78.4,81.5,83.543485,73.3,66.0225,77.32,81.925,70.8,88.4235,64.575,66.75
11,292,1112,78.80959,65.011854,70.53964,82.1999,78.39207,69.281511,65.833,NULL,77.010871,59.7925,67.67625,81.02676,83.465,78.1275,79.035115,73.3525,80.7775,62.878,60.3,76.4,76.657272,75.55,77.8
12,610,1112,77.142792,72.608919,58.585679,60.720375,69.765755,64.103,78.842,NULL,60.535938,59.335667,NULL,66.97909,48.725,49.7025,74.280115,71.34125,53.63,55.54,76.075,62.2,72.8145,64.1,44.7
9,633,1112,82.615803,85.925019,85.095067,90.612605,91.76243,88.933798,86.578,84.3445,86.200681,85.35125,75.323,91.527295,93.5,82.7425,91.01463,95.06,85.805,88.10238,95.25,91.4,87.810232,93.4,87.9
12,634,1112,68.158797,65.517513,63.267707,71.55452,60.929735,68.849,55.894,NULL,62.306569,71.543,NULL,74.592685,66.14,69.865,62.57023,69.924165,41.6625,55.42,75.15,37.65,60.531,62.525,46.85
11,645,1112,80.937246,70.338238,80.607926,78.4188,78.39314,85.7487,47.954375,NULL,91.889287,65.951,86.4465,88.216285,75.365,64.52,85.015695,79.493335,79.965,82.4905,82.05,85.7,94.826363,82.05,77.5
10,653,1112,87.151424,86.119907,86.336798,87.41525,82.40241,80.606155,96.07075,86.416,80.406469,94.54,91.11,74.862155,95.41875,93.4375,78.14491,90.886665,83.185,87.254761,96.6,82.25,75.6,90.55,84.35
12,663,1112,69.644693,59.172569,56.866973,54.928425,56.722455,67.416,47.584333,NULL,69.500686,51.641333,NULL,66.86231,47.37375,42.345,67.964065,52.78208,62.51,59.23,67.4,59.3,71.4755,53.075,67.25
12,674,1112,87.944755,88.688481,90.735875,91.37931,88.199085,84.214667,89.3545,NULL,88.904228,93.20225,NULL,88.07833,90.68375,95.51,83.97709,94.109165,88.0575,78.84,94.9,86.45,90.9545,94.85,89.4
10,680,1112,70.971426,74.275764,76.871731,79.46711,81.73152,73.974159,72.7595,73.24,78.164488,76.487222,71.134,73.741435,82.31,78.61,79.287675,82.651665,80.835,76.868095,86,81.4,79.035909,84.2,77
12,681,1112,93.998728,92.835791,92.309036,90.16672,89.214195,90.263,91.9075,NULL,93.105259,94.381,NULL,89.195905,89.5275,86.0225,88.940115,84.7925,88.0025,87.24,84.575,76.05,96.992,77.225,84.9
12,684,1112,85.03777,81.046838,86.573556,87.60844,79.91737,78.114,82.66,NULL,84.406062,92.2035,NULL,86.979165,84.4775,85.765,85.77337,81.185415,63.87,78.32,85.725,68.6,83.1895,78.7,63.25
10,685,1112,93.790838,93.449033,92.730384,89.86178,90.34653,91.734295,97.62925,93.3465,88.034893,96.173,93.2545,87.472155,87.40625,95.1575,90.2858,93.931665,84.735,92.714761,94.7,81.85,85.143636,93.7,85.05
10,696,1112,92.366156,89.693851,83.282182,85.69653,87.93819,89.877056,93.82525,83.9215,87.800348,74.24375,85.961,82.970035,84.1025,92.585,88.196515,92.536665,88.6625,88.794761,93.15,87.05,83.210454,94.15,90.9
10,701,1112,82.548143,87.391248,88.184254,91.129755,84.024835,79.642674,93.75925,91.564,81.01606,89.212,91.0155,82.41867,95.3175,93.5575,79.94741,82.77,83.3975,86.954285,86.95,90.9,80.911818,83.25,80.15
10,728,1112,79.172265,71.81667,69.896089,66.21279,72.48647,79.153878,65.889,65.956,74.423984,65.23575,72.5705,63.373485,66.8,81.2025,68.14866,76.615,75.695,79.047619,75.3,72.15,71.296363,79.45,79.95
9,736,1112,63.991301,66.285752,55.373134,60.49897,68.59424,72.087272,56.9245,61.7475,63.281439,37.22275,47.854,60.21534,49.48625,58.2,73.79321,61.206665,64.4125,79.579523,64,67.25,56.146363,57.65,64
11,738,1112,82.215692,83.389382,82.547053,85.12369,90.07016,76.326522,92.484333,NULL,82.662689,75.887639,85.848,78.773295,89.89125,67.655,86.655695,94.40375,84.49,68.7695,88.05,79,82.228636,92.25,89.7
