Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
9,2571,1011,92.428796,88.532503,90.325205,91.05098,93.324405,93.896954,90.12975,89.991,86.380905,93.05875,88.905,91.67108,94.07371,87.72,91.68057,95.708,93.7175,93.007272,92.05,95.25,91.538635,89.75,95.15
9,2616,1011,74.526847,67.32209,71.107625,78.475295,75.81385,69.870772,63.2095,66.941,64.884455,66.89875,79.7925,77.40468,86.26071,63.76,73.91605,83.5175,70.8325,70.902727,81.6,71.2,65.738635,76.9,72.4
9,2886,1011,64.017381,61.696816,59.39334,65.72025,71.12424,60.309818,57.406,48.122,49.31116,57.68625,64.8625,58.560715,62.34271,63.35,67.37854,76.21875,60.165,63.611363,63.45,60.65,49.21818,72.05,66
9,3093,1011,80.322668,84.554782,86.11016,90.98053,89.51669,85.057636,90.7555,82.939,81.177735,83.8925,84.26,92.80386,92.927425,89.96,90.444125,93.305,86.6625,84.046818,93.9,89.65,77.58636,90.95,88.85
9,5939,1011,64.663139,62.128843,63.667185,68.693515,78.07589,64.739409,60.085,42.556,55.942485,63.725,69.11,67.55655,62.38571,69.61,75.34513,80.869,77.765,60.063181,82.35,81,57.58409,81.65,85.05
9,6279,1011,78.010732,82.757439,86.27011,85.68505,87.332275,83.640318,81.37175,82.814,80.19813,90.35875,91.145,87.070765,90.903285,85.11,89.13905,90.963,86.1175,84.393636,86.1,85.1,81.872725,86.75,95.1
9,2725,1112,62.490208,53.966442,60.173765,45.47296,50.297545,66.022636,47.473,46.496,70.102545,59.984,58.285,51.66943,41.09375,37.8075,50.67689,55.633335,61.4575,69.145,46.55,54.3,67.865909,63.2,63.85
9,3170,1112,76.074444,75.657675,74.438796,78.829185,82.57706,72.541454,87.745,71.9205,71.794136,78.4148,81.975,76.482355,83.74571,81.0925,79.723475,87.354,83.4725,76.747727,83.4,86.75,66.975,90.1,81.9
9,3171,1112,84.106752,82.40236,82.51568,88.655715,85.531185,81.4525,90.901805,74.5135,77.39709,81.079,90.6175,87.673965,89.97607,84.525,89.23477,87.4,82.065,80.616818,84.9,85.25,73.25409,84.9,78
9,3173,1112,86.488475,89.756784,86.366691,90.217995,89.965205,85.920704,91.93325,89.3425,86.367924,90.189,86.363,87.590525,93.917855,89.23,90.89339,91.52,93.0975,88.652272,95.7,93.55,81.297272,97.6,91.8
9,3245,1112,80.696621,83.986071,77.04559,80.60021,82.252975,72.856318,91.962,86.471,64.788166,86.015,79.5675,73.23545,90.561425,69.5825,71.42516,93.267,77.1775,74.47,86.65,77.6,57.52,94.15,77.55
9,3292,1112,79.794866,75.957277,80.438164,83.708755,83.88811,74.864522,83.4265,73.099,72.295924,83.396,82.5405,81.49519,89.49607,78.21,78.61154,91.352,73.225,77.998181,91.45,74.6,77.151818,93.55,76.45
9,3469,1112,69.42849,72.603506,76.369338,86.4275,83.49784,64.88009,80.4,69.7585,62.892659,86.09225,82.2015,79.438745,94.68607,87.87,77.96834,93.858,74.6425,66.143636,95.15,80.65,66.819545,90.3,72.65
9,3749,1112,78.682286,79.959811,80.46643,84.561275,84.48198,77.193431,81.624,81.257,74.717121,82.7208,88.845,80.863725,88.485,85.3775,84.469565,85.24625,87.235,75.791363,87.4,86.7,74.405909,88.05,83.95
9,3760,1112,70.678743,72.070622,66.461416,72.35489,79.516635,76.98025,61.89575,53.5025,72.367924,54.9138,77.025,81.70764,68.839285,73.875,86.351385,73.394,86.39,77.966363,84.45,88,63.76909,72.8,79.8
9,3783,1112,84.083698,87.214752,85.970071,86.139565,85.95038,77.915909,90.503,85.84,78.136515,89.817,91.469,81.28681,87.46571,89.575,84.292525,83.341,88.6975,84.254545,80.55,84.05,77.335,80,85.85
9,6400,1112,95.466685,93.368731,89.828396,93.910245,93.39399,92.281931,96.01675,90.868,88.195151,85.2,94.0645,93.391205,96.529285,95.29,93.08679,95.114,90.855,93.567727,95.4,93.95,90.086818,98.7,96.1
9,6803,1112,82.893178,71.046156,71.5788,79.203245,76.96907,65.699159,75.6015,61.3155,64.237818,74.242,70.63,70.65473,88.86214,76.2,74.525085,82.44,65.2025,64.50409,86.85,70.15,62.132272,86.8,62.1
9,4456,1011,74.236254,76.955394,71.801065,86.619255,87.18372,85.508363,67.98875,71.879,61.89977,69.37125,79.79,93.471375,85.107425,80.73,87.200305,89.48625,87.83,81.992272,88.6,85.75,73.74318,88.75,95.95
9,6903,1011,76.344348,72.644789,74.53778,85.22933,79.89797,71.394272,65.03725,77.487,69.62958,74.28,83.295,85.06967,84.32171,87.47,83.92876,79.811,76.82,78.982272,75.65,74.15,76.356815,78.85,82.7
9,4701,1112,65.986894,71.819151,70.242897,74.132595,77.80156,78.29784,71.3795,57.2285,73.323409,53.9212,75.948,82.65996,68.034285,67.4425,82.38703,72.009,72.66,80.901818,71.8,80.1,70.19409,78.4,70.75
9,4816,1112,60.407655,64.314109,62.391285,75.02053,80.59238,71.445204,67.391,47.498,69.150378,60.6352,58.425,77.287085,80.31,64.4975,81.418005,82.34,72.2825,73.307272,83.85,77,61.522727,84.2,76.5
9,2568,1011,89.125178,87.148208,85.312995,85.77999,81.9476,83.089181,88.621,86.194,76.82933,89.11625,82.4275,85.375715,85.405855,81.91,84.39834,86.869,70.6675,81.17909,79.4,76.85,75.85,88.2,79.15
9,2581,1011,65.081788,62.502323,55.404825,63.962175,65.78613,63.150318,70.34375,64.425,48.00396,59.56,76.7125,70.21746,65.564,63.88,65.12,79.84125,72.1775,66.08909,69.7,71.1,48.513635,78.45,69.85
9,2582,1011,79.503574,84.989012,88.23399,89.21404,89.39323,84.06759,90.115,88.248,78.607475,90.411665,83.81,86.89745,94.005,88.45,90.79397,97.388,86.1975,88.738636,97.5,89.6,81.015905,92.85,84.6
9,2835,1011,68.246166,71.321725,70.17399,78.513245,80.926665,74.036227,65.703,64.451,63.06303,76.19,72.9825,77.22331,80.565425,68.28,77.09294,87.528,80.6925,68.627272,83.15,80.8,69.490905,86.6,79.85
9,2888,1011,59.021837,64.666956,50.140305,61.62003,63.143805,66.259727,64.4755,53.938,45.681615,46.315,62.805,60.06427,66.481425,55.69,67.450255,67.52125,55.405,67.876818,76.55,75,48.25909,73,48.4
9,2960,1011,90.21298,90.064282,91.140675,93.89371,95.66856,85.629181,91.44675,88.288,86.105805,94.3975,94.45,94.678205,95.086285,94.78,94.069875,98.918,97.08,87.572727,97.2,96.1,82.725,98.3,94.85
9,3283,1011,78.901345,85.71446,83.49005,80.0078,85.45521,85.435272,83.1775,78.751,78.99054,86.98625,81.1525,88.656245,78.887855,82.11,89.048295,88.212,83.8175,84.138181,75.8,81.2,71.00227,91.55,77.4
9,5428,1112,63.83281,64.529797,66.529485,78.48023,76.661835,67.634613,57.57425,46.6145,67.177454,62.3992,69.4455,80.728445,77.405,69.8675,77.635495,68.246,73.575,68.102272,83.05,80.8,62.07409,67.95,72.5
9,5561,1112,90.356385,91.881308,92.026588,91.702205,92.21244,87.749568,95.9315,91.398,85.310909,96.111,94.1395,88.91409,92.10071,89.3175,90.97199,92.186,90.1325,89.341363,89.65,89.9,84.119545,93.25,88.65
9,8001,1112,80.716517,83.576562,78.261663,81.29305,81.60698,82.290909,85.45025,84.002,75.774575,69.338,88.322,81.14908,80.864285,75.33,81.43221,74.196,74.255,83.466363,84.35,80.1,73.282727,76.1,74.3
9,3860,1011,68.546285,66.888098,62.564295,65.087665,73.761825,64.320909,65.7575,49.68,48.39203,64.1525,78.07,72.429555,53.463855,54.45,72.915705,75.57875,68.395,67.252272,68.45,66.65,48.44545,79.4,69.95
9,4037,1011,82.275305,79.862176,81.207725,85.86255,83.285795,81.567136,81.08375,78.664,78.27458,78.48625,81.9475,85.53247,82.10014,84.38,86.64015,77.725,79.51,78.05,80.65,87.75,69.990905,85.85,85.7
9,4141,1011,71.470918,68.792569,75.46089,76.350555,71.944085,72.803954,60.9035,54.963,69.35712,71.615,77.455,88.711245,65.1,69.73,82.931395,57.885,70.0025,77.702727,67.2,76.95,71.806815,51.2,70.7
9,6613,1011,92.543226,93.277621,87.285195,92.97296,94.216005,90.869545,97.08475,92.35,83.84568,91.07,90.1925,92.246385,96.609,93.45,93.67064,92.771,93.26,90.716818,95.8,89.35,82.40227,95.45,93.5
9,3910,1112,77.160563,77.741984,73.217454,76.273645,77.3281,83.453727,75.28275,67.746,79.822106,59.7604,78.625,84.11216,70.84071,77.98,84.66989,71.592,66.86,81.496363,70.65,83.9,72.131363,78.6,75.65
9,4038,1112,83.476238,84.648783,82.751604,85.94993,85.76733,85.863454,80.333,69.409,80.090454,75.74,83.408,88.4308,80.538925,77.075,84.897,85.501,76.815,84.891818,83.85,75.4,81.960454,87.2,86.7
9,4105,1112,82.505137,84.392184,75.401974,80.30998,79.391785,78.320227,89.8,78.366,70.364954,77.8972,87.2205,79.383455,85.791425,77.3975,79.84147,84.414,77.0125,75.371363,87.65,81.15,68.556818,77.75,76.8
9,4308,1112,84.556786,86.606878,86.809723,89.685855,89.55727,83.329659,88.99225,89.536,86.414393,78.1042,95.537,85.98636,89.90714,92.0125,89.08271,91.107,88.57,85.94409,90.95,91.25,83.927727,93.05,92.05
9,4429,1112,87.923407,88.529668,82.807222,85.812685,87.35996,89.976818,87.41125,85.698,81.27709,80.2968,83.4635,88.90022,86.68464,82.0675,90.463495,80.428,85.7375,90.638636,90.15,86.4,83.672272,85.6,80.2
9,4461,1112,91.884858,92.055767,89.699779,93.475715,91.79015,84.831227,97.73175,90.074,82.432409,89.692,93.8605,90.674095,97.028925,88.1975,89.12447,94.381,89.35,89.602272,90.25,88.7,85.917272,92.95,90.8
9,5998,1011,67.243727,63.154589,66.870005,68.451105,72.066725,72.141545,60.3275,59.505,62.11577,65.10625,70.87,75.15061,80.45657,75.77,84.755465,75.588,67.5675,70.989545,82.2,73.4,63.06136,69.9,70.1
9,3131,1112,94.156829,94.664287,94.714522,96.530295,95.770805,92.372795,96.06225,88.54,88.321113,96.948,96.328,94.41405,98.9225,93.78,95.03315,98.74,96.26,92.955454,96.25,97.15,89.605454,100,95.65
9,3232,1112,73.339415,70.233721,70.682122,79.133035,67.78028,65.554272,79.22425,70.223,64.906151,71.835,84.5505,76.93992,85.36571,74.6975,64.878975,72.151,67.48,61.610909,79.5,75.45,60.855909,80.25,63.1
9,3305,1112,76.62032,80.672519,78.307003,78.34857,81.33715,79.222045,84.48625,71.77,73.030106,80.6892,90.649,76.43172,80.48464,83.185,83.86924,82.548,80.355,81.887272,83.2,86.45,73.558636,81.65,74.55
9,3454,1112,87.47936,88.730691,83.771043,81.16673,77.515445,88.103886,84.96,83.801,72.051651,73.3838,86.2155,80.458445,77.04607,76.5875,76.910975,72.022,73.4575,83.54409,73.4,79.65,78.161363,67.7,72
9,3577,1112,80.455306,80.331858,77.448306,84.54575,84.66009,80.98559,73.91525,70.3935,71.798151,80.382,80.967,80.69443,91.658925,78.37,85.84693,90.147,74.13,79.107727,87.45,81.45,68.495909,93.6,74.15
9,3626,1112,86.229772,83.772284,83.680144,89.282765,91.22196,85.340909,87.94025,77.705,83.204727,78.735,86.9295,89.90885,90.13107,85.6875,91.299425,92.702,92.2275,84.813636,97,90.85,82.125,95.65,91.2
9,3631,1112,79.072346,77.915518,79.318427,85.21891,85.94243,81.59184,72.50775,68.917,81.028802,68.6732,86.673,84.87725,82.055,79.9325,85.47317,91.625,78.3875,82.282727,90.65,75.4,82.88,90.3,80.65
9,3681,1112,75.142794,82.46186,79.516311,76.03147,84.150415,82.005886,83.42475,75.6175,79.916848,71.0702,84.069,80.321675,77.87464,74.445,89.226845,85.726,86.675,80.01,80.3,82.9,73.281363,79.6,77.2
9,3772,1112,66.185762,69.023765,56.194202,52.723785,60.46119,73.949886,67.31675,64.226,67.981818,48.823,18.443,45.07049,55.1075,66.805,72.99192,55.22871,48.93,71.377727,74.764285,60.2,61.05909,50.10714,63.45
9,6712,1112,80.4309,85.61281,86.305513,91.00016,91.305685,83.029545,90.39375,79.052,78.566121,88.817,80.775,88.964715,94.265715,82.02,89.595705,94.174,89.3225,90.974545,98.55,92.65,76.242272,95.6,89.6
